economy,FM.LBL.BMNY.ZG,NY.GDP.DEFL.KD.ZG
QAT,2.4814433483213,-4.45591420530452
ROU,10.905108739629,6.94651343516345
RUS,5.1039386595789,3.26313281881684
RWA,10.2097381232914,2.47117029507604
SAS,,3.38307296288543
SAU,,-1.36670580109759
SDN,60.0789296283337,51.9788933465452
SEN,8.21945167396854,2.08580185181253
SGP,4.95135060515991,-0.424898726497446
SLB,-3.06402553766336,1.24130303241819
SLE,14.3092552002694,9.95949133109526
SLV,11.3051698208539,0.848014701105342
SMR,,0.9141001601092
SOM,,11.8634092027917
SRB,8.35399044069606,2.34783114136296
SSA,,2.32924600348274
SSD,26.8203482331384,
SSF,,2.32924600348274
SST,,1.52375418557065
STP,-2.07863461805061,11.2643680903642
SUR,5.69446377485853,5.17890859157816
SVK,,2.40120783642419
SVN,,2.33858654999968
SWE,7.05650936347593,2.42065005761071
SWZ,1.77844168042495,2.27888568981025
SXM,,0.759240923003787
SYC,13.6916730148655,0.126950238609624
SYR,,19.8313540100224
TCA,,-0.577400429770876
TCD,22.7009979628714,-2.66131094227197
TEA,,1.31550650702985
TEC,,3.65868395013121
TGO,4.53167858210492,0.01194354395939
THA,3.63689698519263,1.01442340642497
TJK,16.9444551811162,3.65868395013121
TKM,,4.38275226849976
TLA,,2.76448783843382
TLS,-7.10863145315821,5.84673545520819
TMN,,5.34857624534533
TON,-0.499911817316019,4.7280006610313
TSA,,3.38307296288543
TSS,,2.32924600348274
TTO,2.8831569668164,-1.9615408429827
TUN,10.947581497216,7.13521222424285
TUR,27.0230864954567,13.8677568970462
TUV,,6.43874385090449
TZA,9.6412099544991,2.2804089300173
UGA,15.8761399568799,3.00001181631713
UKR,12.5760074164158,8.24622626642469
UMC,,2.31072833460301
URY,15.9329453196368,8.25631097039718
USA,8.39189902015057,1.65046566913468
UZB,13.8829478920437,17.5760106233679
VCT,5.40132286471166,2.27362552784307
VEN,,
VGB,,
VIR,,2.07837613911349
VNM,13.6213022976993,2.42322694229267
VUT,6.91011104616666,3.28038772217984
WLD,,2.33814268078236
WSM,4.64090295627926,1.49948619479095
XKX,12.5709528000235,0.962960139069509
YEM,,
ZAF,6.11024523226612,4.61352469052481
ZMB,12.5452246885134,7.63347048076743
ZWE,249.835278181966,225.394836968226
