Date,AAPL,AMZN,BA,GOOG,IBM,MGM,TSLA,^GSPC
2015-03-01,27.752269744873047,18.604999542236328,132.07522583007812,27.163516998291016,98.39976501464844,19.86305809020996,12.584667205810547,2067.889892578125
2015-04-01,27.912857055664062,21.089000701904297,126.14383697509766,26.708242416381836,105.0149154663086,19.976396560668945,15.069999694824219,2085.510009765625
2015-05-01,29.057031631469727,21.46150016784668,123.66211700439453,26.448287963867188,104.00949096679688,18.937435150146484,16.719999313354492,2107.389892578125
2015-06-01,28.0921573638916,21.704500198364258,122.86041259765625,25.871715545654297,100.47869873046875,17.237319946289062,17.884000778198242,2063.110107421875
2015-07-01,27.16717529296875,26.8075008392334,127.68732452392578,31.09566307067871,100.0648193359375,18.531299591064453,17.74333381652832,2103.840087890625
2015-08-01,25.254497528076172,25.644500732421875,115.73957824707031,30.72983741760254,91.35494995117188,19.296348571777344,16.604000091552734,1972.1800537109375
2015-09-01,24.81536293029785,25.594499588012695,116.71869659423828,30.241241455078125,90.29460144042969,17.426219940185547,16.559999465942383,1920.030029296875
2015-10-01,26.88518714904785,31.295000076293945,131.97811889648438,35.33049011230469,87.24887084960938,21.903200149536133,13.795332908630371,2079.360107421875
2015-11-01,26.615205764770508,33.2400016784668,129.64285278320312,36.91059875488281,86.8377914428711,21.478174209594727,15.350666999816895,2080.409912109375
2015-12-01,23.782827377319336,33.794498443603516,129.6731414794922,37.71978759765625,86.52068328857422,21.459280014038086,16.000667572021484,2043.93994140625
2016-01-01,21.99335479736328,29.350000381469727,107.73662567138672,36.9279899597168,78.4545669555664,18.965770721435547,12.74666690826416,1940.239990234375
2016-02-01,21.84649085998535,27.625999450683594,105.98777770996094,34.682342529296875,82.37761688232422,17.879587173461914,12.795332908630371,1932.22998046875
2016-03-01,24.759220123291016,29.68199920654297,114.89752197265625,37.027408599853516,96.1881103515625,20.250308990478516,15.317999839782715,2059.739990234375
2016-04-01,21.29488182067871,32.97949981689453,122.01187133789062,34.44575500488281,92.68863677978516,20.11807632446289,16.05066680908203,2065.300048828125
2016-05-01,22.685161590576172,36.13949966430664,114.18247985839844,36.568634033203125,97.64251708984375,21.582063674926758,14.881999969482422,2096.949951171875
2016-06-01,21.849647521972656,35.78099822998047,118.50839233398438,34.400516510009766,97.32797241210938,21.3742733001709,14.152000427246094,2098.860107421875
2016-07-01,23.81748390197754,37.94049835205078,121.96684265136719,38.21236038208008,102.99657440185547,22.649362564086914,15.652667045593262,2173.60009765625
2016-08-01,24.249446868896484,38.45800018310547,118.12513732910156,38.12588119506836,101.88079833984375,22.56435775756836,14.133999824523926,2170.949951171875
2016-09-01,25.977861404418945,41.865501403808594,121.21102905273438,38.634849548339844,102.74132537841797,24.585609436035156,13.60200023651123,2168.27001953125
2016-10-01,26.0904598236084,39.49100112915039,131.046630859375,38.995208740234375,99.40390014648438,24.71783447265625,13.182000160217285,2126.14990234375
2016-11-01,25.396488189697266,37.528499603271484,138.52687072753906,37.678035736083984,104.92097473144531,27.116891860961914,12.626667022705078,2198.81005859375
2016-12-01,26.751022338867188,37.493499755859375,144.33766174316406,38.36296844482422,108.33331298828125,27.230236053466797,14.246000289916992,2238.830078125
